game_no,Date,month,Opp,Result,win,MP,PTS,TRB,AST,STL,BLK,TOV,FG%,3P%,triple_double
1,2016-10-26,Oct 2016,PHI,"W, 103-97",True,,32.0,12.0,9.0,0.0,0.0,2.0,.524,.500,False
2,2016-10-28,Oct 2016,PHO,"W, 113-110 (OT)",True,,51.0,13.0,10.0,2.0,0.0,5.0,.386,.200,True
3,2016-10-30,Oct 2016,LAL,"W, 113-96",True,,33.0,11.0,16.0,1.0,1.0,7.0,.524,.833,True
4,2016-11-02,Nov 2016,LAC,"W, 85-83",True,,35.0,6.0,5.0,3.0,0.0,10.0,.467,.000,False
5,2016-11-03,Nov 2016,GSW,"L, 96-122",False,,20.0,6.0,10.0,1.0,2.0,6.0,.267,.500,False
6,2016-11-05,Nov 2016,MIN,"W, 112-92",True,,28.0,6.0,8.0,3.0,0.0,2.0,.500,.800,False
7,2016-11-07,Nov 2016,MIA,"W, 97-85",True,,14.0,5.0,11.0,0.0,0.0,5.0,.313,.167,False
8,2016-11-09,Nov 2016,TOR,"L, 102-112",False,,36.0,7.0,7.0,1.0,2.0,8.0,.346,.250,False
9,2016-11-11,Nov 2016,LAC,"L, 108-110",False,,29.0,14.0,9.0,1.0,0.0,4.0,.360,.600,False
10,2016-11-13,Nov 2016,ORL,"L, 117-119",False,,41.0,12.0,16.0,0.0,0.0,2.0,.667,.000,True
11,2016-11-14,Nov 2016,DET,"L, 88-104",False,,33.0,15.0,8.0,0.0,0.0,7.0,.524,.000,False
12,2016-11-16,Nov 2016,HOU,"W, 105-103",True,,30.0,7.0,9.0,2.0,0.0,6.0,.450,.500,False
13,2016-11-18,Nov 2016,BRK,"W, 124-105",True,,30.0,10.0,13.0,1.0,0.0,3.0,.619,.000,True
14,2016-11-20,Nov 2016,IND,"L, 111-115 (OT)",False,,31.0,11.0,15.0,1.0,0.0,7.0,.382,.250,True
15,2016-11-22,Nov 2016,LAL,"L, 109-111",False,,34.0,8.0,13.0,2.0,0.0,8.0,.433,.444,False
16,2016-11-23,Nov 2016,SAC,"L, 101-116",False,,31.0,11.0,9.0,2.0,0.0,3.0,.389,.200,False
17,2016-11-25,Nov 2016,DEN,"W, 132-129 (OT)",True,,36.0,11.0,17.0,1.0,1.0,7.0,.360,.750,True
18,2016-11-26,Nov 2016,DET,"W, 106-88",True,,17.0,13.0,15.0,1.0,1.0,5.0,.364,.000,True
19,2016-11-28,Nov 2016,NYK,"W, 112-103",True,,27.0,17.0,14.0,2.0,0.0,7.0,.391,.667,True
20,2016-11-30,Nov 2016,WAS,"W, 126-115 (OT)",True,,35.0,14.0,11.0,2.0,0.0,5.0,.343,.167,True
21,2016-12-04,Dec 2016,NOP,"W, 101-92",True,,28.0,17.0,12.0,1.0,0.0,10.0,.435,.250,True
22,2016-12-05,Dec 2016,ATL,"W, 102-99",True,,32.0,13.0,12.0,1.0,1.0,4.0,.455,.375,True
23,2016-12-09,Dec 2016,HOU,"L, 99-102",False,,27.0,10.0,10.0,3.0,0.0,8.0,.320,.000,True
24,2016-12-11,Dec 2016,BOS,"W, 99-96",True,,37.0,12.0,6.0,2.0,0.0,7.0,.538,.400,False
25,2016-12-13,Dec 2016,POR,"L, 95-114",False,,20.0,6.0,6.0,0.0,0.0,4.0,.368,.400,False
26,2016-12-14,Dec 2016,UTA,"L, 89-109",False,,27.0,6.0,5.0,1.0,0.0,5.0,.280,.400,False
27,2016-12-17,Dec 2016,PHO,"W, 114-101",True,,26.0,11.0,22.0,2.0,1.0,5.0,.529,.500,True
28,2016-12-19,Dec 2016,ATL,"L, 108-110",False,,46.0,11.0,7.0,1.0,0.0,4.0,.485,.300,False
29,2016-12-21,Dec 2016,NOP,"W, 121-110",True,,42.0,10.0,7.0,1.0,0.0,4.0,.462,.286,False
30,2016-12-23,Dec 2016,BOS,"W, 117-112",True,,45.0,11.0,11.0,1.0,0.0,4.0,.520,.714,True
31,2016-12-25,Dec 2016,MIN,"W, 112-100",True,,31.0,7.0,15.0,1.0,1.0,5.0,.440,.250,False
32,2016-12-27,Dec 2016,MIA,"W, 106-94",True,,29.0,17.0,11.0,0.0,0.0,7.0,.500,.000,True
